Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
888,888,26/1/2021,11:7:58:613,276.41,31.41,439.12,0.5539999999999999,941.747,426.58563704778913,276.91
889,889,26/1/2021,11:7:58:675,276.91,31.35,434.52,0.5539999999999999,941.747,426.4256731441805,276.91
890,890,26/1/2021,11:7:58:785,276.41,31.41,431.52,0.5539999999999999,941.747,426.2600000749114,276.91
891,891,26/1/2021,11:7:58:894,276.41,31.47,429.02,0.5539999999999999,941.747,426.088947695224,276.91
892,892,26/1/2021,11:7:59:8,277.41,31.41,425.42,0.5539999999999999,941.747,425.91293140352724,276.91
893,893,26/1/2021,11:7:59:117,277.41,31.41,442.82,0.5539999999999999,941.747,425.7324269119258,276.91
894,894,26/1/2021,11:7:59:227,274.91,31.41,405.52,0.555,941.747,425.54797074605654,276.91
895,895,26/1/2021,11:7:59:367,276.41,31.45,421.72,0.5539999999999999,941.747,425.36011867837783,276.91
896,896,26/1/2021,11:7:59:446,276.41,31.35,406.72,0.5539999999999999,941.897,425.1693432621728,276.91
897,897,26/1/2021,11:7:59:602,276.41,31.39,434.52,0.5539999999999999,941.747,424.97597160456144,276.91
898,898,26/1/2021,11:7:59:664,276.41,31.35,431.52,0.5539999999999999,941.897,424.7802329157267,276.91
899,899,26/1/2021,11:7:59:773,276.41,31.37,428.12,0.5539999999999999,941.747,424.5823664750077,276.91
900,900,26/1/2021,11:7:59:883,277.41,31.39,424.42,0.5539999999999999,941.747,424.38268408393645,276.91
901,901,26/1/2021,11:7:59:992,277.81,31.39,422.62,0.5539999999999999,941.747,424.1815524737959,276.91
902,902,26/1/2021,11:8:0:102,277.41,31.37,422.32,0.5539999999999999,941.747,423.9793512592272,276.91
903,903,26/1/2021,11:8:0:211,276.41,31.41,419.62,0.5539999999999999,941.747,423.7764439843509,276.91
904,904,26/1/2021,11:8:0:367,276.41,31.41,421.42,0.5539999999999999,941.747,423.5731601098832,276.91
905,905,26/1/2021,11:8:0:430,275.41,31.41,424.42,0.5539999999999999,941.747,423.36978939877207,276.91
906,906,26/1/2021,11:8:0:539,275.91,31.33,422.02,0.5539999999999999,941.747,423.16659415734665,276.91
907,907,26/1/2021,11:8:0:649,276.91,31.39,407.32,0.5539999999999999,941.747,422.9638106513959,276.91
908,908,26/1/2021,11:8:0:758,276.41,31.41,422.92,0.5539999999999999,941.747,422.76160955404777,276.91
909,909,26/1/2021,11:8:0:867,276.91,31.45,422.32,0.5539999999999999,941.747,422.56006692176317,276.91
910,910,26/1/2021,11:8:0:977,277.41,31.37,421.72,0.5539999999999999,941.747,422.3591960252503,276.91
911,911,26/1/2021,11:8:1:102,276.91,31.47,422.02,0.5539999999999999,941.747,422.1589914602935,276.91
912,912,26/1/2021,11:8:1:196,277.81,31.41,421.72,0.5539999999999999,941.747,421.9594425239957,276.91
913,913,26/1/2021,11:8:1:368,276.41,31.41,421.72,0.5539999999999999,941.747,421.76053399835257,276.91
