Unnamed: 0,index,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Diff_Prx,Pressure_tmp
5295,5295,26/1/2021,11:1:41:720,276.41,31.49,424.12,0.5529999999999999,942.047,423.5248599082496,276.91
5296,5296,26/1/2021,11:1:41:845,275.91,31.39,432.72,0.5529999999999999,942.047,423.45551939261696,276.91
5297,5297,26/1/2021,11:1:41:939,276.91,31.41,423.22,0.5529999999999999,942.047,423.3844924042332,277.41
5298,5298,26/1/2021,11:1:42:111,276.91,31.47,420.22,0.5529999999999999,942.047,423.31191981664597,276.91
5299,5299,26/1/2021,11:1:42:173,276.91,31.32,420.22,0.5539999999999999,942.047,423.2379445138651,276.41
5300,5300,26/1/2021,11:1:42:283,276.41,31.45,428.42,0.5539999999999999,942.047,423.1627077965561,277.41
5301,5301,26/1/2021,11:1:42:408,276.41,31.45,424.12,0.5539999999999999,942.047,423.08635015507593,276.91
5302,5302,26/1/2021,11:1:42:517,278.31,31.35,421.72,0.5539999999999999,942.047,423.00901389611266,276.91
5303,5303,26/1/2021,11:1:42:626,276.41,31.39,421.42,0.5529999999999999,942.047,422.9308429840242,276.41
5304,5304,26/1/2021,11:1:42:720,276.91,31.39,425.42,0.5529999999999999,942.047,422.85198121145635,275.91
5305,5305,26/1/2021,11:1:42:860,276.91,31.49,439.42,0.5529999999999999,941.8969999999999,422.77257366838194,276.91
5306,5306,26/1/2021,11:1:42:954,276.41,31.47,406.42,0.5539999999999999,942.047,422.6927709613862,277.41
5307,5307,26/1/2021,11:1:43:110,276.91,31.39,420.22,0.5529999999999999,942.047,422.6127275858088,276.91
5308,5308,26/1/2021,11:1:43:173,276.91,31.47,419.92,0.5529999999999999,942.047,422.53259419543207,276.91
5309,5309,26/1/2021,11:1:43:282,277.41,31.37,413.52,0.5529999999999999,942.047,422.4525136798549,275.91
5310,5310,26/1/2021,11:1:43:392,276.41,31.41,407.02,0.5529999999999999,942.047,422.3726201801632,272.51
5311,5311,26/1/2021,11:1:43:486,276.91,31.41,402.52,0.5529999999999999,942.047,422.2930338909679,276.91
5312,5312,26/1/2021,11:1:43:611,277.41,31.39,421.12,0.5529999999999999,942.047,422.21385510637566,276.91
5313,5313,26/1/2021,11:1:43:720,276.41,31.37,438.22,0.552,941.8969999999999,422.13516737284317,275.91
5314,5314,26/1/2021,11:1:43:845,276.41,31.35,420.52,0.5529999999999999,942.047,422.05705062737513,275.91
5315,5315,26/1/2021,11:1:43:939,276.41,31.41,432.72,0.5529999999999999,942.047,421.979592077042,276.91
5316,5316,26/1/2021,11:1:44:95,276.91,31.45,407.72,0.5529999999999999,942.047,421.9028867515779,276.41
5317,5317,26/1/2021,11:1:44:158,276.41,31.39,427.22,0.5529999999999999,942.047,421.82703185745453,276.91
5318,5318,26/1/2021,11:1:44:283,275.91,31.45,420.82,0.5539999999999999,942.047,421.7521224251152,276.41
5319,5319,26/1/2021,11:1:44:392,276.91,31.35,421.12,0.5529999999999999,942.047,421.678251792015,276.41
5320,5320,26/1/2021,11:1:44:502,276.91,31.51,419.92,0.5539999999999999,942.047,421.60551309510873,276.41
5321,5321,26/1/2021,11:1:44:626,275.91,31.39,420.52,0.5539999999999999,942.047,421.5339985794104,276.41
