,Unnamed: 0,Date,time,Pressure,Temp,Diff_Pr,Massflow,Density,Pressure_tmp
161,161,11/3/2021,16:22:43:931,312.02,30.95,456.22,0.545,926.146,311.12
162,162,11/3/2021,16:22:44:42,312.02,30.93,429.02,0.545,926.146,311.12
163,163,11/3/2021,16:22:44:182,312.02,31.06,433.32,0.545,926.146,311.12
164,164,11/3/2021,16:22:44:261,312.02,31.06,437.32,0.545,926.146,311.12
165,165,11/3/2021,16:22:44:370,311.52,31.06,434.22,0.545,926.146,311.12
166,166,11/3/2021,16:22:44:480,313.02,31.02,430.82,0.545,926.146,311.12
167,167,11/3/2021,16:22:44:589,311.52,31.0,429.02,0.545,926.146,311.12
168,168,11/3/2021,16:22:44:698,312.02,31.18,429.32,0.545,926.146,311.12
169,169,11/3/2021,16:22:44:808,312.02,31.02,429.02,0.545,926.146,311.12
170,170,11/3/2021,16:22:44:932,312.02,31.02,452.82,0.545,926.146,311.12
171,171,11/3/2021,16:22:45:26,312.52,31.08,448.22,0.545,926.146,311.12
172,172,11/3/2021,16:22:45:182,312.02,30.99,447.62,0.545,926.146,311.12
173,173,11/3/2021,16:22:45:245,312.02,30.93,441.22,0.545,926.146,311.12
174,174,11/3/2021,16:22:45:355,312.02,30.97,470.82,0.545,925.996,311.12
175,175,11/3/2021,16:22:45:464,312.02,31.04,439.42,0.545,926.146,311.12
176,176,11/3/2021,16:22:45:573,312.02,30.99,435.72,0.545,926.146,311.12
177,177,11/3/2021,16:22:45:682,312.02,31.02,432.72,0.545,926.146,311.12
178,178,11/3/2021,16:22:45:792,311.52,30.99,430.22,0.544,926.146,311.12
179,179,11/3/2021,16:22:45:932,312.02,30.91,452.82,0.544,925.996,311.12
180,180,11/3/2021,16:22:46:11,312.02,30.97,429.92,0.545,926.146,311.12
181,181,11/3/2021,16:22:46:120,312.02,31.02,449.82,0.545,925.996,311.12
182,182,11/3/2021,16:22:46:229,311.52,31.0,453.72,0.545,925.996,311.12
183,183,11/3/2021,16:22:46:339,311.52,31.0,450.12,0.545,925.996,311.12
184,184,11/3/2021,16:22:46:448,311.52,31.0,441.22,0.545,926.146,311.12
185,185,11/3/2021,16:22:46:557,313.02,30.99,471.42,0.545,925.996,311.12
186,186,11/3/2021,16:22:46:682,312.52,31.0,440.92,0.545,926.146,311.12
187,187,11/3/2021,16:22:46:776,312.02,30.95,437.02,0.545,926.146,311.12
188,188,11/3/2021,16:22:46:932,312.52,30.97,451.92,0.544,925.996,311.12
189,189,11/3/2021,16:22:46:995,312.02,31.02,430.52,0.544,926.146,311.12
190,190,11/3/2021,16:22:47:104,311.52,31.02,449.82,0.544,926.146,311.12
191,191,11/3/2021,16:22:47:213,312.02,31.08,430.52,0.545,926.296,311.12
192,192,11/3/2021,16:22:47:323,312.02,31.02,429.62,0.545,926.146,311.12
193,193,11/3/2021,16:22:47:432,312.02,31.0,453.72,0.544,925.996,311.12
194,194,11/3/2021,16:22:47:541,312.02,30.85,436.62,0.545,926.146,311.12
195,195,11/3/2021,16:22:47:682,312.52,31.04,454.02,0.545,926.296,311.12
196,196,11/3/2021,16:22:47:760,312.02,30.87,452.22,0.545,926.146,311.12
197,197,11/3/2021,16:22:47:870,315.92,31.04,471.42,0.545,926.296,311.12
198,198,11/3/2021,16:22:47:979,313.02,30.99,439.72,0.545,926.296,311.12
199,199,11/3/2021,16:22:48:88,313.02,31.0,436.62,0.545,926.146,311.12
200,200,11/3/2021,16:22:48:198,312.02,31.02,433.02,0.545,926.296,311.12
201,201,11/3/2021,16:22:48:307,312.02,31.04,430.82,0.545,926.296,311.12
202,202,11/3/2021,16:22:48:432,311.52,31.04,452.52,0.545,926.146,311.12
203,203,11/3/2021,16:22:48:526,312.52,31.02,430.52,0.545,926.146,311.12
204,204,11/3/2021,16:22:48:682,312.02,31.0,449.52,0.545,926.146,311.12
205,205,11/3/2021,16:22:48:744,315.52,31.06,450.72,0.545,926.296,311.12
206,206,11/3/2021,16:22:48:854,312.02,31.0,473.02,0.544,926.146,311.12
207,207,11/3/2021,16:22:48:963,312.02,31.02,447.92,0.544,926.296,311.12
208,208,11/3/2021,16:22:49:73,312.02,30.95,447.02,0.544,926.296,311.12
209,209,11/3/2021,16:22:49:182,312.02,31.04,442.82,0.544,926.296,311.12
210,210,11/3/2021,16:22:49:291,312.02,31.02,438.82,0.544,926.296,311.12
211,211,11/3/2021,16:22:49:432,312.02,30.81,459.22,0.544,926.296,311.12
212,212,11/3/2021,16:22:49:510,312.52,30.95,431.52,0.544,926.296,311.12
213,213,11/3/2021,16:22:49:620,312.02,31.2,450.12,0.544,926.296,311.12
214,214,11/3/2021,16:22:49:729,312.52,30.99,431.82,0.545,926.296,311.12
215,215,11/3/2021,16:22:49:838,312.02,31.02,451.32,0.545,926.296,311.12
216,216,11/3/2021,16:22:49:947,311.52,31.0,434.82,0.545,926.296,311.12
217,217,11/3/2021,16:22:50:57,312.02,30.99,457.12,0.545,926.296,311.12
218,218,11/3/2021,16:22:50:198,312.02,31.0,448.62,0.545,926.296,311.12
219,219,11/3/2021,16:22:50:276,313.02,31.04,448.22,0.545,926.296,311.12
220,220,11/3/2021,16:22:50:432,312.02,30.95,467.52,0.544,926.146,311.12
221,221,11/3/2021,16:22:50:495,312.02,30.97,441.52,0.544,926.296,311.12
222,222,11/3/2021,16:22:50:604,312.02,31.02,438.22,0.544,926.296,311.12
223,223,11/3/2021,16:22:50:713,312.52,31.0,455.92,0.5429999999999999,926.146,311.12
224,224,11/3/2021,16:22:50:823,312.02,30.87,452.82,0.542,926.296,311.12
225,225,11/3/2021,16:22:50:933,313.02,30.99,455.92,0.542,926.146,311.12
226,226,11/3/2021,16:22:51:42,313.02,30.95,455.92,0.541,926.146,311.12
227,227,11/3/2021,16:22:51:182,312.52,30.97,454.02,0.541,926.146,311.12
228,228,11/3/2021,16:22:51:261,313.02,31.02,463.22,0.541,926.146,311.12
229,229,11/3/2021,16:22:51:371,312.52,30.93,454.72,0.541,926.296,311.12
230,230,11/3/2021,16:22:51:480,312.52,31.02,454.42,0.5429999999999999,926.146,311.12
231,231,11/3/2021,16:22:51:589,313.02,30.93,454.42,0.544,925.996,311.12
232,232,11/3/2021,16:22:51:698,312.02,30.95,457.72,0.545,925.996,311.12
233,233,11/3/2021,16:22:51:808,313.02,30.97,447.32,0.545,925.846,311.12
234,234,11/3/2021,16:22:51:933,312.52,30.97,460.52,0.544,925.696,311.12
235,235,11/3/2021,16:22:52:27,312.52,30.97,458.92,0.5429999999999999,925.696,311.12
236,236,11/3/2021,16:22:52:182,312.02,30.93,459.22,0.54,925.696,311.12
237,237,11/3/2021,16:22:52:245,312.02,30.93,458.62,0.539,925.696,311.12
238,238,11/3/2021,16:22:52:355,312.52,30.99,481.22,0.5379999999999999,925.696,311.12
239,239,11/3/2021,16:22:52:464,312.02,30.97,460.52,0.5379999999999999,925.696,311.12
240,240,11/3/2021,16:22:52:574,312.02,31.0,469.62,0.5379999999999999,925.696,311.12
241,241,11/3/2021,16:22:52:683,312.02,30.95,467.82,0.539,925.696,311.12
242,242,11/3/2021,16:22:52:792,313.02,30.93,460.52,0.54,925.846,311.12
243,243,11/3/2021,16:22:52:933,312.02,30.93,465.02,0.539,925.846,311.12
244,244,11/3/2021,16:22:53:11,312.02,30.91,463.52,0.539,925.846,311.12
245,245,11/3/2021,16:22:53:121,311.52,30.99,465.02,0.5379999999999999,925.846,311.12
246,246,11/3/2021,16:22:53:230,313.02,30.89,446.72,0.5379999999999999,925.996,311.12
247,247,11/3/2021,16:22:53:339,312.02,30.99,472.12,0.539,925.846,311.12
248,248,11/3/2021,16:22:53:448,311.52,30.97,447.02,0.541,925.846,311.12
249,249,11/3/2021,16:22:53:558,312.52,30.93,478.22,0.541,925.696,311.12
250,250,11/3/2021,16:22:53:690,312.02,30.99,464.12,0.541,925.696,311.12
251,251,11/3/2021,16:22:53:768,311.12,30.91,463.82,0.541,925.696,311.12
252,252,11/3/2021,16:22:53:924,310.62,30.87,463.82,0.539,925.846,311.12
253,253,11/3/2021,16:22:53:987,312.02,30.97,463.22,0.539,925.846,311.12
254,254,11/3/2021,16:22:54:96,311.12,30.89,468.72,0.539,925.846,311.12
255,255,11/3/2021,16:22:54:205,310.62,30.95,466.62,0.539,925.846,311.12
256,256,11/3/2021,16:22:54:315,311.52,31.0,467.82,0.539,925.996,311.12
257,257,11/3/2021,16:22:54:424,312.02,30.97,466.32,0.539,925.996,311.12
258,258,11/3/2021,16:22:54:534,311.12,30.95,466.32,0.539,925.996,311.12
259,259,11/3/2021,16:22:54:705,310.12,31.04,463.52,0.539,926.146,311.12
